Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"COL1A2","Collagen Type I Alpha 2 Chain","Protein Coding","P08123","61","GC07P094394","2.19011664390564","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL1A2"
"HTR2A","5-Hydroxytryptamine Receptor 2A","Protein Coding","P28223","60","GC13M046831","2.18963623046875","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HTR2A"
"CTBP1","C-Terminal Binding Protein 1","Protein Coding","Q13363","61","GC04M001211","2.18256592750549","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTBP1"
"GAMT","Guanidinoacetate N-Methyltransferase","Protein Coding","Q14353","59","GC19M001397","2.18256592750549","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GAMT"
"ABHD5","Abhydrolase Domain Containing 5, Lysophosphatidic Acid Acyltransferase","Protein Coding","Q8WTS1","58","GC03P044039","2.18256592750549","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABHD5"
"GYS2","Glycogen Synthase 2","Protein Coding","P54840","58","GC12M033246","2.18256592750549","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GYS2"
"SLC9A6","Solute Carrier Family 9 Member A6","Protein Coding","Q92581","57","GC0XP135985","2.18256592750549","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC9A6"
"TOP3A","DNA Topoisomerase III Alpha","Protein Coding","Q13472","56","GC17M018271","2.18256592750549","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TOP3A"
"HCCS","Holocytochrome C Synthase","Protein Coding","P53701","55","GC0XP011111","2.18256592750549","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HCCS"
"NDUFB11","NADH:Ubiquinone Oxidoreductase Subunit B11","Protein Coding","Q9NX14","52","GC0XM047142","2.18256592750549","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFB11"
"COX7C","Cytochrome C Oxidase Subunit 7C","Protein Coding","P15954","48","GC05P086617","2.18256592750549","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COX7C"
"MT-TL2","Mitochondrially Encoded TRNA-Leu (CUN) 2","RNA Gene","","22","GCMTP012268","2.18256592750549","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-TL2"
"TIMP1","TIMP Metallopeptidase Inhibitor 1","Protein Coding","P01033","58","GC0XP059202","2.18212175369263","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TIMP1"
"PSORS1C1","Psoriasis Susceptibility 1 Candidate 1","Protein Coding","Q9UIG5","40","GC06P031114","2.17887997627258","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSORS1C1"
"CDK4","Cyclin Dependent Kinase 4","Protein Coding","P11802","66","GC12M059932","2.17711567878723","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK4"
